"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EETISEncounterLM.TervishoiukontaktiLiik","EETISEncounterLM.TervishoiukontaktiLiik","","","",1,1,"","","","string {[]} {[]}
","tbc","tbc","","vajadus","","","","","","","",,,,,"",,,,"EETISEncounterLM.TervishoiukontaktiLiik",1,1,"",""
"EETISEncounterLM.TervishoiukontaktiErakorralisus","EETISEncounterLM.TervishoiukontaktiErakorralisus","","","",1,1,"","","","string {[]} {[]}
","tbc","tbc","","vajadus","","","","","","","",,,,,"",,,,"EETISEncounterLM.TervishoiukontaktiErakorralisus",1,1,"",""
"EETISEncounterLM.TervishoiukontaktiKlass","EETISEncounterLM.TervishoiukontaktiKlass","","","",1,1,"","","","string {[]} {[]}
","tbc","tbc","","vajadus","","","","","","","",,,,,"",,,,"EETISEncounterLM.TervishoiukontaktiKlass",1,1,"",""
"EETISEncounterLM.TervishoiukontaktiTyyp","EETISEncounterLM.TervishoiukontaktiTyyp","","","",1,1,"","","","string {[]} {[]}
","tbc","tbc","","vajadus","","","","","","","",,,,,"",,,,"EETISEncounterLM.TervishoiukontaktiTyyp",1,1,"",""
"EETISEncounterLM.TegelikPeriood","EETISEncounterLM.TegelikPeriood","","","",1,1,"","","","string {[]} {[]}
","tbc","tbc","","vajadus","","","","","","","",,,,,"",,,,"EETISEncounterLM.TegelikPeriood",1,1,"",""
"EETISEncounterLM.SaabumiseViis","EETISEncounterLM.SaabumiseViis","","","",1,1,"","","","string {[]} {[]}
","tbc","tbc","","vajadus","","","","","","","",,,,,"",,,,"EETISEncounterLM.SaabumiseViis",1,1,"",""
"EETISEncounterLM.Episood","EETISEncounterLM.Episood","","","",1,1,"","","","EpisodeOfCare {[CanonicalType[https://fhir.ee/encounter-episode/StructureDefinition/ee-tis-episode-of-care]]} {[]}
","tbc","tbc","","vajadus","","","","","","","",,,,,"",,,,"EETISEncounterLM.Episood",1,1,"",""
"EETISEncounterLM.TervishoiukontaktiDiagnoos","EETISEncounterLM.TervishoiukontaktiDiagnoos","","","",1,1,"","","","string {[]} {[]}
","tbc","tbc","","vajadus","","","","","","","",,,,,"",,,,"EETISEncounterLM.TervishoiukontaktiDiagnoos",1,1,"",""
"EETISEncounterLM.HaiglaraviLoppemiseTulemus","EETISEncounterLM.HaiglaraviLoppemiseTulemus","","","",1,1,"","","","string {[]} {[]}
","tbc","tbc","","vajadus","","","","","","","",,,,,"",,,,"EETISEncounterLM.HaiglaraviLoppemiseTulemus",1,1,"",""
"EETISEncounterLM.SaatekirjaAndmed","EETISEncounterLM.SaatekirjaAndmed","","","",1,1,"","","","string {[]} {[]}
","tbc","tbc","","vajadus","","","","","","","",,,,,"",,,,"EETISEncounterLM.SaatekirjaAndmed",1,1,"",""
"EETISEncounterLM.TervishoiukontaktiKokkuvoteRavist","EETISEncounterLM.TervishoiukontaktiKokkuvoteRavist","","","",1,1,"","","","string {[]} {[]}
","tbc","tbc","","vajadus","","","","","","","",,,,,"",,,,"EETISEncounterLM.TervishoiukontaktiKokkuvoteRavist",1,1,"",""
